#
# Weapons data
#	A: Weapon name
#	B: Fire type
#   C: Range
#	D: Firing Rate
#	E: Reload
#	F: Amount of Ammunition
#	G: Damage
#	H: Speed
#	I: Radius
#	J: Life span
#	K: Spread
#	L,M,N: Fire offset vector
#	P: animation to play
#	Q: animation to play
#	R: animation loop start
#	S: animation loop end
#	T: point in animation where weapon is fired
#	U: animation2 loop start
#	V: animation2 loop end
#	W: point in animation2 where weapon is fired
#	X: point in anim where we can breakout of anim/attack and run away
#	Y: model id
#	Z: model2 id
#	a: Flags -> Stored in HEX... so (from right to left)
#		1st digit	1:USE_GRAVITY  	2:SLOWS_DOWN  	4:DISSIPATES  	8:RAND_SPEED  
#		2nd digit	1:EXPANDS  		2:EXPLODES  	4:CANAIM		8:CANAIM_WITHARM
#		3rd digit	1:1ST_PERSON  	2:HEAVY  		4:THROW			8:RELOAD_LOOP2START
#		4th digit	1:USE_2ND		2:GROUND_2ND	4:FINISH_3RD	8:RELOAD
#		5th digit	1:FIGHTMODE		2:CROUCHFIRE	4:COP3_RD		8:GROUND_3RD
#		6th digit	1:PARTIALATTACK 2:ANIMDETONATE
#
#   b: Weapon Slot (Group to which this weapon belongs to, different from Fire type)
#
###### NOT USED IN THIS VERSION ##############
#	a:	1st person version of anim (using orig HGUN & PUMP cause they work better at mo')
#	b:	1st person vers of 2nd anim
#
#	FPS anims loaded (ie available):	FPS_PUNCH, FPS_BAT, FPS_UZI, FPS_PUMP, FPS_AK, FPS_M16, FPS_ROCKET
##############################################
#
# A            	B           C     D    E    F    G    H   I     J      K    L	 M		N		P       	R  S  T  	U  V  W		X	 	Y	Y	  a			b
Unarmed        	MELEE       2.4	  250  100  1000 8   -1.0 0.6   -1.0   -1.0	0.1	 0.65	0.30	unarmed	   	0  99 6  	0  99 12	99		-1 	-1 	  102000 	0
BrassKnuckle    MELEE       2.0   250  100  1000 16  -1.0 0.8   -1.0   -1.0	0.1  0.8	0.30	unarmed		5  20 14 	3  17 11	99		259 -1 	  102000 	0
ScrewDriver     MELEE       1.8   250  100  1000 45  -1.0 0.5   -1.0   -1.0	0.0  0.7	0.20	screwdrv   	5  99 14 	3  17 11	99		260 -1 	  115000 	1
GolfClub       	MELEE       1.5   250  100  1000 21  -1.0 0.8   -1.0   -1.0	0.1  0.8	0.30	golfclub    5  20 16 	3  15 12	99		261 -1 	  102000 	1
NightStick     	MELEE       1.5   250  100  1000 21  -1.0 0.8   -1.0   -1.0	0.1  0.8	0.30	baseball    5  20 14 	3  17 11	99		262 -1 	  102000 	1
Knife          	MELEE       1.8   250  100  1000 21  -1.0 0.5   -1.0   -1.0	0.0  0.8	0.20	knife       5  99 14 	3  17 11	99		263 -1 	  115000 	1
BaseballBat    	MELEE       2.0   250  100  1000 21  -1.0 0.8   -1.0   -1.0	0.1  0.8	0.30	baseball    5  20 16 	3  17 11	99		264 -1 	  102000	1
Hammer	       	MELEE       1.5   250  100  1000 21  -1.0 0.8   -1.0   -1.0	0.1  0.8	0.30	baseball    5  20 14 	3  17 11	99		265 -1 	  102000	1
Cleaver	       	MELEE       1.9   250  100  1000 24  -1.0 0.6   -1.0   -1.0	0.0  0.9	0.20	knife       5  99 14 	3  17 11	99		266 -1 	  115000	1
Machete	       	MELEE       2.0   250  100  1000 24  -1.0 0.6   -1.0   -1.0	0.0  1.0	0.20	knife       5  99 14 	3  17 11	99		267 -1 	  115000 	1
